Profile [m],Longitude [degrees_east],Latitude [degrees_north],Bed [m],Surface [m],Ice Thickness [m]
25523.076,-49.253883,69.11464,-1316.0,597.0,1914.0
25621.117,-49.251637,69.11499,-1320.0,600.0,1921.0
25719.156,-49.249386,69.11534,-1325.0,603.0,1929.0
25817.197,-49.247135,69.11569,-1338.0,607.0,1945.0
25915.238,-49.24489,69.11604,-1351.0,609.0,1961.0
26013.28,-49.242638,69.116394,-1362.0,612.0,1974.0
26111.318,-49.240387,69.116745,-1367.0,615.0,1983.0
26209.36,-49.238136,69.1171,-1370.0,618.0,1989.0
26307.4,-49.23589,69.117455,-1370.0,621.0,1992.0
26405.441,-49.23364,69.117805,-1375.0,623.0,1999.0
26503.48,-49.231388,69.11816,-1380.0,625.0,2006.0
26601.521,-49.229137,69.11851,-1386.0,628.0,2014.0
26699.562,-49.226887,69.11886,-1390.0,629.0,2020.0
26797.604,-49.224636,69.11921,-1390.0,632.0,2022.0
26895.643,-49.222385,69.11956,-1387.0,634.0,2022.0
26993.684,-49.22014,69.11992,-1385.0,636.0,2021.0
27091.725,-49.217888,69.12027,-1384.0,639.0,2023.0
27189.766,-49.215637,69.12062,-1378.0,641.0,2019.0
27287.807,-49.213387,69.12097,-1368.0,642.0,2010.0
27385.846,-49.211136,69.12132,-1360.0,643.0,2003.0
27483.887,-49.208885,69.12167,-1357.0,644.0,2002.0
27581.928,-49.20663,69.122025,-1358.0,645.0,2003.0
27679.969,-49.20438,69.122375,-1356.0,646.0,2002.0
27778.008,-49.20213,69.12273,-1351.0,647.0,1998.0
27876.049,-49.19988,69.12308,-1345.0,647.0,1993.0
27974.09,-49.197628,69.12343,-1338.0,648.0,1987.0
28071.305,-49.19519,69.12345,-1335.0,651.0,1986.0
28168.521,-49.192757,69.123474,-1336.0,654.0,1990.0
28265.736,-49.19032,69.1235,-1335.0,657.0,1992.0
28362.953,-49.187885,69.12351,-1331.0,659.0,1991.0
28460.168,-49.185448,69.123535,-1326.0,662.0,1989.0
28557.383,-49.18301,69.12356,-1321.0,664.0,1986.0
28654.6,-49.180576,69.12358,-1316.0,666.0,1982.0
28751.814,-49.17814,69.123604,-1313.0,668.0,1981.0
28849.031,-49.175705,69.12362,-1309.0,670.0,1980.0
28946.246,-49.173267,69.12364,-1307.0,672.0,1980.0
29043.46,-49.17083,69.123665,-1302.0,674.0,1976.0
29140.678,-49.168396,69.12369,-1299.0,675.0,1974.0
29237.893,-49.16596,69.1237,-1301.0,676.0,1978.0
29335.11,-49.163525,69.123726,-1304.0,677.0,1981.0
29432.324,-49.161087,69.12375,-1306.0,678.0,1984.0
29529.54,-49.15865,69.123764,-1308.0,678.0,1987.0
29626.756,-49.156216,69.12379,-1310.0,679.0,1990.0
29723.97,-49.153778,69.12381,-1312.0,680.0,1992.0
29821.188,-49.151344,69.12383,-1314.0,680.0,1995.0
29918.402,-49.148907,69.12385,-1317.0,681.0,1998.0
30015.617,-49.14647,69.12387,-1320.0,682.0,2002.0
30112.834,-49.144035,69.12389,-1319.0,682.0,2002.0
30210.049,-49.141598,69.12391,-1317.0,683.0,2000.0
30307.266,-49.139164,69.12393,-1314.0,684.0,1998.0
30404.48,-49.136726,69.123955,-1313.0,685.0,1999.0
30501.695,-49.13429,69.12397,-1313.0,686.0,1999.0
30598.912,-49.131855,69.12399,-1311.0,687.0,1998.0
30696.127,-49.129417,69.124016,-1308.0,688.0,1997.0
30793.344,-49.12698,69.12403,-1306.0,690.0,1996.0
30890.559,-49.124546,69.124054,-1306.0,691.0,1997.0
30987.773,-49.12211,69.12408,-1304.0,693.0,1998.0
31085.908,-49.11971,69.12426,-1300.0,694.0,1995.0
31184.043,-49.117306,69.12445,-1294.0,695.0,1990.0
31282.178,-49.114902,69.12464,-1289.0,697.0,1987.0
31380.312,-49.1125,69.12483,-1285.0,699.0,1984.0
31478.447,-49.1101,69.125015,-1282.0,700.0,1983.0
31576.58,-49.107697,69.125206,-1277.0,702.0,1979.0
31674.715,-49.105293,69.1254,-1271.0,703.0,1975.0
31772.85,-49.10289,69.12559,-1264.0,705.0,1969.0
31870.984,-49.10049,69.12578,-1256.0,707.0,1963.0
31969.12,-49.098087,69.12596,-1248.0,709.0,1958.0
32067.252,-49.095684,69.12615,-1240.0,711.0,1952.0
32165.387,-49.09328,69.12634,-1231.0,714.0,1945.0
32263.521,-49.090878,69.126526,-1221.0,716.0,1937.0
32361.656,-49.088478,69.12672,-1210.0,717.0,1928.0
32459.791,-49.086075,69.12691,-1199.0,719.0,1919.0
32557.926,-49.08367,69.1271,-1188.0,722.0,1910.0
32656.059,-49.08127,69.12728,-1179.0,725.0,1905.0
32754.193,-49.078865,69.12747,-1172.0,728.0,1900.0
32852.33,-49.07646,69.12766,-1166.0,730.0,1897.0
32950.46,-49.07406,69.127846,-1159.0,732.0,1892.0
33048.598,-49.071655,69.12804,-1151.0,735.0,1887.0
33146.73,-49.069252,69.12823,-1145.0,739.0,1884.0
33244.867,-49.06685,69.12841,-1140.0,742.0,1882.0
33343.0,-49.06445,69.1286,-1136.0,745.0,1881.0
33441.133,-49.062046,69.12879,-1129.0,747.0,1877.0
33539.27,-49.059643,69.128975,-1123.0,751.0,1874.0
33637.402,-49.05724,69.129166,-1118.0,754.0,1873.0
33735.54,-49.054836,69.12936,-1114.0,757.0,1872.0
33833.67,-49.052433,69.12954,-1112.0,759.0,1871.0
33931.81,-49.05003,69.12973,-1110.0,761.0,1872.0
34029.94,-49.047626,69.12992,-1107.0,764.0,1871.0
34129.04,-49.045853,69.13054,-1100.0,767.0,1868.0
34228.137,-49.04408,69.13116,-1095.0,771.0,1867.0
34327.234,-49.042305,69.13178,-1098.0,774.0,1872.0
34426.336,-49.04053,69.1324,-1093.0,779.0,1873.0
34525.434,-49.038757,69.13302,-1093.0,784.0,1877.0
34624.53,-49.036983,69.133644,-1090.0,789.0,1880.0
34723.63,-49.035206,69.13426,-1090.0,793.0,1883.0
34822.727,-49.033432,69.13488,-1086.0,796.0,1883.0
34921.824,-49.03166,69.135506,-1083.0,800.0,1883.0
35020.926,-49.029884,69.13612,-1083.0,803.0,1886.0
35120.023,-49.02811,69.13674,-1082.0,807.0,1890.0
35219.12,-49.026333,69.13737,-1084.0,810.0,1894.0
35318.22,-49.02456,69.137985,-1085.0,813.0,1899.0
35417.316,-49.022785,69.1386,-1084.0,816.0,1901.0
35516.418,-49.02101,69.13922,-1085.0,820.0,1905.0
35615.516,-49.019234,69.13985,-1090.0,824.0,1915.0
35714.613,-49.01746,69.140465,-1097.0,827.0,1925.0
35813.71,-49.015682,69.14108,-1102.0,830.0,1933.0
35912.81,-49.01391,69.14171,-1109.0,833.0,1943.0
36011.906,-49.01213,69.14233,-1122.0,834.0,1957.0
36111.008,-49.010357,69.142944,-1135.0,836.0,1972.0
36210.105,-49.00858,69.14356,-1144.0,839.0,1984.0
36309.203,-49.006805,69.14419,-1152.0,841.0,1993.0
36408.3,-49.005028,69.144806,-1160.0,843.0,2004.0
36507.4,-49.003254,69.145424,-1165.0,846.0,2011.0
36606.496,-49.001476,69.14604,-1169.0,848.0,2017.0
36705.598,-48.9997,69.14667,-1176.0,850.0,2026.0
36804.695,-48.997925,69.147285,-1183.0,851.0,2035.0
36903.793,-48.996147,69.1479,-1195.0,852.0,2047.0
37002.89,-48.99437,69.14853,-1199.0,853.0,2053.0
37101.99,-48.99259,69.14915,-1206.0,854.0,2061.0
37201.086,-48.990818,69.149765,-1204.0,855.0,2059.0
37300.188,-48.98904,69.15038,-1207.0,856.0,2063.0
37399.285,-48.987263,69.15101,-1209.0,857.0,2067.0
37498.383,-48.985485,69.15163,-1212.0,859.0,2071.0
37597.48,-48.983707,69.152245,-1208.0,860.0,2068.0
37696.58,-48.98193,69.15286,-1212.0,860.0,2073.0
37795.676,-48.980152,69.15349,-1216.0,861.0,2078.0
37894.777,-48.978374,69.154106,-1221.0,861.0,2083.0
37993.875,-48.976597,69.154724,-1226.0,862.0,2089.0
38092.973,-48.97482,69.15534,-1231.0,863.0,2094.0
38192.07,-48.97304,69.15596,-1237.0,864.0,2102.0
38291.168,-48.971264,69.156586,-1244.0,864.0,2109.0
38390.27,-48.969486,69.1572,-1246.0,864.0,2111.0
38489.367,-48.967705,69.15782,-1251.0,864.0,2115.0
38588.465,-48.965927,69.15844,-1252.0,864.0,2117.0
38687.562,-48.96415,69.159065,-1254.0,865.0,2119.0
38786.66,-48.96237,69.15968,-1252.0,865.0,2118.0
38885.758,-48.96059,69.1603,-1253.0,865.0,2119.0
38984.86,-48.958813,69.16092,-1253.0,865.0,2119.0
39083.957,-48.957035,69.16154,-1255.0,865.0,2120.0
39183.055,-48.955254,69.16216,-1257.0,863.0,2121.0
39282.152,-48.953476,69.16278,-1257.0,863.0,2121.0
39381.25,-48.951694,69.1634,-1258.0,864.0,2123.0
39480.348,-48.949917,69.16402,-1259.0,865.0,2124.0
39579.45,-48.94814,69.164635,-1258.0,866.0,2124.0
39678.547,-48.946358,69.16526,-1257.0,866.0,2124.0
39777.645,-48.944576,69.16588,-1261.0,867.0,2128.0
39876.742,-48.9428,69.1665,-1262.0,867.0,2129.0
39975.84,-48.941017,69.167114,-1257.0,868.0,2126.0
40074.938,-48.93924,69.16773,-1257.0,870.0,2128.0
40174.04,-48.937458,69.16836,-1253.0,871.0,2124.0
40273.137,-48.935677,69.168976,-1250.0,871.0,2122.0
40372.234,-48.9339,69.16959,-1253.0,872.0,2126.0
40471.332,-48.932117,69.17021,-1258.0,873.0,2131.0
40570.43,-48.930336,69.17083,-1264.0,874.0,2138.0
40669.53,-48.928555,69.17145,-1265.0,876.0,2142.0
40768.63,-48.926773,69.17207,-1265.0,879.0,2145.0
40867.727,-48.924995,69.17269,-1265.0,880.0,2145.0
40966.824,-48.923214,69.17331,-1265.0,880.0,2146.0
41065.92,-48.921432,69.17393,-1264.0,882.0,2146.0
41165.02,-48.91965,69.174545,-1257.0,884.0,2141.0
41264.51,-48.917206,69.174736,-1264.0,885.0,2149.0
41364.004,-48.91476,69.17492,-1271.0,886.0,2158.0
41463.496,-48.91232,69.17511,-1277.0,885.0,2162.0
41562.99,-48.909874,69.17529,-1282.0,884.0,2167.0
41662.477,-48.90743,69.17548,-1287.0,884.0,2171.0
41761.97,-48.904987,69.17567,-1289.0,885.0,2174.0
